taxon	rank	trait_id	trait_name	mean_value	unit	sd	n	origin
Polytrichaceae	family	3116	"Leaf area per leaf dry mass (specific leaf area, SLA or 1/LMA): petiole included"	NA	mm^2/mg	NA	0	global mean
Polytrichaceae	family	3106	Plant height vegetative	0.02	m	NA	1	global mean
Polytrichaceae	family	26	Seed dry mass	NA	mg	NA	0	global mean
Polytrichaceae	family	4	Stem specific density (SSD) or wood density (stem dry mass per stem fresh volume)	NA	g/cm^3	NA	0	global mean
Brachytheciaceae	family	3110	"Leaf area (in case of compound leaves: leaf, petiole included)"	NA	mm^2	NA	0	global mean
Brachytheciaceae	family	14	Leaf nitrogen (N) content per leaf dry mass	NA	mg/g	NA	0	global mean
Brachytheciaceae	family	3116	"Leaf area per leaf dry mass (specific leaf area, SLA or 1/LMA): petiole included"	NA	mm^2/mg	NA	0	global mean
Brachytheciaceae	family	3106	Plant height vegetative	NA	m	NA	0	global mean
Brachytheciaceae	family	26	Seed dry mass	NA	mg	NA	0	global mean
Brachytheciaceae	family	4	Stem specific density (SSD) or wood density (stem dry mass per stem fresh volume)	NA	g/cm^3	NA	0	global mean
Selaginellaceae	family	3110	"Leaf area (in case of compound leaves: leaf, petiole included)"	NA	mm^2	NA	0	global mean
Selaginellaceae	family	14	Leaf nitrogen (N) content per leaf dry mass	NA	mg/g	NA	0	global mean
Selaginellaceae	family	3116	"Leaf area per leaf dry mass (specific leaf area, SLA or 1/LMA): petiole included"	27.79	mm^2/mg	12.00071665	5	global mean
Selaginellaceae	family	3106	Plant height vegetative	0.095277778	m	0.079194936	18	global mean
Selaginellaceae	family	26	Seed dry mass	NA	mg	NA	0	global mean
Selaginellaceae	family	4	Stem specific density (SSD) or wood density (stem dry mass per stem fresh volume)	NA	g/cm^3	NA	0	global mean
Myricaceae	family	3110	"Leaf area (in case of compound leaves: leaf, petiole included)"	627.6666667	mm^2	24.00694344	3	global mean
Myricaceae	family	14	Leaf nitrogen (N) content per leaf dry mass	19.04390455	mg/g	3.724320361	27	global mean
Myricaceae	family	3116	"Leaf area per leaf dry mass (specific leaf area, SLA or 1/LMA): petiole included"	16.2160253	mm^2/mg	7.3940736	6	global mean
Myricaceae	family	3106	Plant height vegetative	4.581355556	m	3.542016144	36	global mean
Myricaceae	family	26	Seed dry mass	15.68305952	mg	22.44240704	51	global mean
Myricaceae	family	4	Stem specific density (SSD) or wood density (stem dry mass per stem fresh volume)	0.552813833	g/cm^3	0.1072922	6	global mean
Compositae	family	3110	"Leaf area (in case of compound leaves: leaf, petiole included)"	NA	mm^2	NA	0	global mean
Compositae	family	14	Leaf nitrogen (N) content per leaf dry mass	NA	mg/g	NA	0	global mean
Compositae	family	3116	"Leaf area per leaf dry mass (specific leaf area, SLA or 1/LMA): petiole included"	NA	mm^2/mg	NA	0	global mean
Compositae	family	3106	Plant height vegetative	NA	m	NA	0	global mean
Compositae	family	26	Seed dry mass	NA	mg	NA	0	global mean
Compositae	family	4	Stem specific density (SSD) or wood density (stem dry mass per stem fresh volume)	NA	g/cm^3	NA	0	global mean
Poaceae	family	3110	"Leaf area (in case of compound leaves: leaf, petiole included)"	800.4153968	mm^2	999.9510584	4146	global mean
Poaceae	family	14	Leaf nitrogen (N) content per leaf dry mass	21.7052847	mg/g	9.935741539	7946	global mean
Poaceae	family	3116	"Leaf area per leaf dry mass (specific leaf area, SLA or 1/LMA): petiole included"	20.59194429	mm^2/mg	11.94212759	7243	global mean
Poaceae	family	3106	Plant height vegetative	0.694248711	m	1.290332374	10753	global mean
Poaceae	family	26	Seed dry mass	10.82597695	mg	331.8340524	5674	global mean
Poaceae	family	4	Stem specific density (SSD) or wood density (stem dry mass per stem fresh volume)	0.262034758	g/cm^3	1.104874581	313	global mean
