timeline_id,bin_early,bin_late,morphotype
individualtimelinenode_48d66bcb-89ff-4d3f-8713-057de0eb592b,4000,3500,Diphasium
individualtimelinenode_48d66bcb-89ff-4d3f-8713-057de0eb592b,4000,3500,Empetrum hermap
individualtimelinenode_48d66bcb-89ff-4d3f-8713-057de0eb592b,4000,3500,Gramineae
individualtimelinenode_48d66bcb-89ff-4d3f-8713-057de0eb592b,4000,3500,Salix glauca t.
individualtimelinenode_48d66bcb-89ff-4d3f-8713-057de0eb592b,4000,3500,Alnus
individualtimelinenode_48d66bcb-89ff-4d3f-8713-057de0eb592b,4000,3500,Gymnocarpium dryopt.
individualtimelinenode_48d66bcb-89ff-4d3f-8713-057de0eb592b,4000,3500,Juniperus communis
individualtimelinenode_48d66bcb-89ff-4d3f-8713-057de0eb592b,4000,3500,Lycopodium dubium
individualtimelinenode_48d66bcb-89ff-4d3f-8713-057de0eb592b,4000,3500,Picea
individualtimelinenode_48d66bcb-89ff-4d3f-8713-057de0eb592b,4500,4000,Alnus
individualtimelinenode_48d66bcb-89ff-4d3f-8713-057de0eb592b,4500,4000,Betula
individualtimelinenode_48d66bcb-89ff-4d3f-8713-057de0eb592b,4500,4000,Cyperaceae
individualtimelinenode_48d66bcb-89ff-4d3f-8713-057de0eb592b,4500,4000,Diphasium
individualtimelinenode_48d66bcb-89ff-4d3f-8713-057de0eb592b,4500,4000,Empetrum hermap
individualtimelinenode_48d66bcb-89ff-4d3f-8713-057de0eb592b,4500,4000,Gramineae
individualtimelinenode_48d66bcb-89ff-4d3f-8713-057de0eb592b,4500,4000,Gymnocarpium dryopt.
individualtimelinenode_48d66bcb-89ff-4d3f-8713-057de0eb592b,4500,4000,Lycopodium dubium
individualtimelinenode_48d66bcb-89ff-4d3f-8713-057de0eb592b,4500,4000,Salix glauca t.
individualtimelinenode_48d66bcb-89ff-4d3f-8713-057de0eb592b,4500,4000,Picea
individualtimelinenode_48d66bcb-89ff-4d3f-8713-057de0eb592b,4500,4000,Salix herbacaea t.
individualtimelinenode_48d66bcb-89ff-4d3f-8713-057de0eb592b,4500,4000,Koenigia islandica
individualtimelinenode_48d66bcb-89ff-4d3f-8713-057de0eb592b,5000,4500,Alnus
individualtimelinenode_48d66bcb-89ff-4d3f-8713-057de0eb592b,5000,4500,Betula
individualtimelinenode_48d66bcb-89ff-4d3f-8713-057de0eb592b,5000,4500,Cyperaceae
individualtimelinenode_48d66bcb-89ff-4d3f-8713-057de0eb592b,5000,4500,Diphasium
individualtimelinenode_48d66bcb-89ff-4d3f-8713-057de0eb592b,5000,4500,Empetrum hermap
individualtimelinenode_48d66bcb-89ff-4d3f-8713-057de0eb592b,5000,4500,Gramineae
individualtimelinenode_48d66bcb-89ff-4d3f-8713-057de0eb592b,5000,4500,Gymnocarpium dryopt.
individualtimelinenode_48d66bcb-89ff-4d3f-8713-057de0eb592b,5000,4500,Lycopodium dubium
individualtimelinenode_48d66bcb-89ff-4d3f-8713-057de0eb592b,5000,4500,Salix glauca t.
individualtimelinenode_48d66bcb-89ff-4d3f-8713-057de0eb592b,5000,4500,Salix herbacaea t.
individualtimelinenode_48d66bcb-89ff-4d3f-8713-057de0eb592b,5000,4500,Koenigia islandica
individualtimelinenode_48d66bcb-89ff-4d3f-8713-057de0eb592b,5500,5000,Alnus
individualtimelinenode_48d66bcb-89ff-4d3f-8713-057de0eb592b,5500,5000,Betula
individualtimelinenode_48d66bcb-89ff-4d3f-8713-057de0eb592b,5500,5000,Empetrum hermap
individualtimelinenode_48d66bcb-89ff-4d3f-8713-057de0eb592b,5500,5000,Gramineae
individualtimelinenode_48d66bcb-89ff-4d3f-8713-057de0eb592b,5500,5000,Koenigia islandica
individualtimelinenode_48d66bcb-89ff-4d3f-8713-057de0eb592b,5500,5000,Lycopodium dubium
individualtimelinenode_48d66bcb-89ff-4d3f-8713-057de0eb592b,5500,5000,Salix glauca t.
individualtimelinenode_48d66bcb-89ff-4d3f-8713-057de0eb592b,5500,5000,Cyperaceae
individualtimelinenode_48d66bcb-89ff-4d3f-8713-057de0eb592b,5500,5000,Cruciferae
individualtimelinenode_48d66bcb-89ff-4d3f-8713-057de0eb592b,5500,5000,Picea
individualtimelinenode_48d66bcb-89ff-4d3f-8713-057de0eb592b,6000,5500,Alnus
individualtimelinenode_48d66bcb-89ff-4d3f-8713-057de0eb592b,6000,5500,Betula
individualtimelinenode_48d66bcb-89ff-4d3f-8713-057de0eb592b,6000,5500,Cruciferae
individualtimelinenode_48d66bcb-89ff-4d3f-8713-057de0eb592b,6000,5500,Cyperaceae
individualtimelinenode_48d66bcb-89ff-4d3f-8713-057de0eb592b,6000,5500,Empetrum hermap
individualtimelinenode_48d66bcb-89ff-4d3f-8713-057de0eb592b,6000,5500,Gramineae
individualtimelinenode_48d66bcb-89ff-4d3f-8713-057de0eb592b,6000,5500,Lycopodium dubium
individualtimelinenode_48d66bcb-89ff-4d3f-8713-057de0eb592b,6000,5500,Picea
individualtimelinenode_48d66bcb-89ff-4d3f-8713-057de0eb592b,6000,5500,Salix glauca t.
individualtimelinenode_48d66bcb-89ff-4d3f-8713-057de0eb592b,6000,5500,Gymnocarpium dryopt.
individualtimelinenode_48d66bcb-89ff-4d3f-8713-057de0eb592b,6000,5500,Juniperus communis
individualtimelinenode_48d66bcb-89ff-4d3f-8713-057de0eb592b,6500,6000,Alnus
individualtimelinenode_48d66bcb-89ff-4d3f-8713-057de0eb592b,6500,6000,Betula
individualtimelinenode_48d66bcb-89ff-4d3f-8713-057de0eb592b,6500,6000,Cyperaceae
