Taxon	Family	Genus	Species	Subunit (string option)	Subunit Value	ID	TaxonOriginal	Ic	FN	KP	SF	UN	YG	Tm	AO	Kh	YK	CW	WI	CS	CE	AW	AN	CC	HL	EP	GW	GE	A	B	C	D	E	N
V. wormskjoldii	PLANTAGINACEAE	Veronica	wormskjoldii			800306	V. wormskjoldii	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	r	s	-	s	r	-	-	-	R	F	F
V. wormskjoldii subsp. alterniflora	PLANTAGINACEAE	Veronica	wormskjoldii	subsp.	alterniflora	800306a	V. wormskjoldii subsp. alterniflora	-	-	-	-	-	-	-	-	-	-	-	-	-	-	r	r	-	-	-	-	-	-	-	-	-	R	S
V. fruticans (subsp. fruticans)	PLANTAGINACEAE	Veronica	fruticans	(subsp.	fruticans)	800307	V. fruticans (subsp. fruticans)	f	r	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	s	s	-	-	R	F	F	F
V. serpyllifolia subsp. serpyllifolia	PLANTAGINACEAE	Veronica	serpyllifolia	subsp.	serpyllifolia	800308a	V. serpyllifolia subsp. serpyllifolia	*	*	*	-	*	-	-	-	-	-	-	-	-	-	-	-	-	-	-	*	-	-	-	-	-	*	F
V. serpyllifolia subsp. humifusa	PLANTAGINACEAE	Veronica	serpyllifolia	subsp.	humifusa	800308b	V. serpyllifolia subsp. humifusa	-	-	-	-	-	-	-	-	-	-	-	-	-	-	r	-	-	r	-	-	-	-	-	-	-	R	S
V. chamaedrys	PLANTAGINACEAE	Veronica	chamaedrys			800309	V. chamaedrys	-	*	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	*	S
V. officinalis	PLANTAGINACEAE	Veronica	officinalis			800310	V. officinalis	s	-	**	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	R	F
V. scutellata	PLANTAGINACEAE	Veronica	scutellata			800311	V. scutellata	s	r	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	r	-	-	-	-	-	-	-	R	F
V. anagallis-aquatica	PLANTAGINACEAE	Veronica	anagallis-aquatica			800312	V. anagallis-aquatica	b	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	b	R
V. alaskensis	PLANTAGINACEAE	Veronica	alaskensis			800313	V. alaskensis	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	b	-	-	-	-	-	-	-	-	-	b	R
P. major (subsp. major)	PLANTAGINACEAE	Plantago	major	(subsp.	major)	800401	P. major (subsp. major)	*	*	*	**	-	**	-	-	-	-	*	-	-	*	*	*	*	*	-	**	-	-	-	**	*	*	S
P. depressa	PLANTAGINACEAE	Plantago	depressa			800402	P. depressa	-	-	-	-	-	-	-	-	*	-	*	-	-	*	-	-	-	-	-	-	-	-	-	-	*	*	S
P. media	PLANTAGINACEAE	Plantago	media			800403	P. media	-	*	*	-	*	-	-	-	-	-	-	-	-	*	-	-	-	-	-	-	-	-	-	-	-	*	S
P. lanceolata	PLANTAGINACEAE	Plantago	lanceolata			800404	P. lanceolata	*	-	-	-	**	-	**	-	-	-	-	-	-	**	-	-	-	-	-	**	-	-	-	-	-	*	S
P. canescens subsp. canescens	PLANTAGINACEAE	Plantago	canescens	subsp.	canescens	800405a	P. canescens subsp. canescens	-	-	-	-	-	-	-	-	*	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	*	F
P. canescens subsp. jurtzevii	PLANTAGINACEAE	Plantago	canescens	subsp.	jurtzevii	800405b	P. canescens subsp. jurtzevii	-	-	-	-	-	-	-	-	-	-	r	-	-	-	-	-	-	-	-	-	-	-	-	-	-	R	-
P. canescens subsp. richardsonii	PLANTAGINACEAE	Plantago	canescens	subsp.	richardsonii	800405c	P. canescens subsp. richardsonii	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	r	s	-	-	-	-	-	-	-	S	S	R
P. eriopoda	PLANTAGINACEAE	Plantago	eriopoda			800406	P. eriopoda	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	r	-	-	-	-	-	-	-	-	R	S
P. maritima	PLANTAGINACEAE	Plantago	maritima			800407	P. maritima	f	f	f	-	r	-	-	-	-	-	-	-	-	-	b	-	r	f	-	f	r	-	-	R	F	F	F
L. uniflora	PLANTAGINACEAE	Littorella	uniflora			800501	L. uniflora	r	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	R	S
H. montana	PLANTAGINACEAE	Hippuris	montana			800601	H. montana	-	-	-	-	-	-	-	-	-	-	-	-	-	-	r	-	-	-	-	-	-	-	-	-	-	R	S
H. vulgaris	PLANTAGINACEAE	Hippuris	vulgaris			800602	H. vulgaris	f	f	s	-	f	s	s	?	s	s	s	r	X	f	f	f	s	r	-	-	-	-	-	R	S	F	F
H. lanceolata	PLANTAGINACEAE	Hippuris	lanceolata			800603	H. lanceolata	r	r	X	r	X	X	X	-	X	-	s	r	s	s	f	f	s	s	r	s	s	-	R	F	F	F	F
H. tetraphylla	PLANTAGINACEAE	Hippuris	tetraphylla			800604	H. tetraphylla	r	r	X	-	X	X	X	-	X	-	r	-	s	r	s	r	r	r	-	-	-	-	-	-	S	F	F
C. hermaphroditica	PLANTAGINACEAE	Callitriche	hermaphroditica			800701	C. hermaphroditica	r	r	r	-	r	-	r	-	-	?	r	-	r	r	s	s	r	r	-	r	-	-	-	-	R	S	F
C. stenoptera	PLANTAGINACEAE	Callitriche	stenoptera			800702	C. stenoptera	-	-	-	-	-	-	-	-	-	-	-	-	-	-	r	-	-	-	-	-	-	-	-	-	-	R	R
C. cophocarpa	PLANTAGINACEAE	Callitriche	cophocarpa			800703	C. cophocarpa	-	r	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	R	S
C. palustris	PLANTAGINACEAE	Callitriche	palustris			800704	C. palustris	s	s	s	-	s	r	-	-	-	?	s	-	r	s	s	r	r	r	-	s	r	-	-	R	S	F	F
C. anceps	PLANTAGINACEAE	Callitriche	anceps			800705	C. anceps	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	r	-	s	r	-	-	R	S	S	F
C. brutia subsp. hamulata	PLANTAGINACEAE	Callitriche	brutia	subsp.	hamulata	800706a	C. brutia subsp. hamulata	f	r	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	s	r	-	-	-	R	R	F
C. stagnalis	PLANTAGINACEAE	Callitriche	stagnalis			800707	C. stagnalis	?	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	?	S
Boschniakia rossica	OROBANCHACEAE	Boschniakia	rossica			810101	Boschniakia rossica	-	-	-	-	r	r	s	r	s	r	r	-	s	r	s	s	r	-	-	-	-	-	-	-	R	S	F
C. septentrionalis	OROBANCHACEAE	Castilleja	septentrionalis			810201	C. septentrionalis	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	r	-	-	-	-	-	-	R	R	S
C. hyparctica	OROBANCHACEAE	Castilleja	hyparctica			810202	C. hyparctica	-	-	-	-	r	-	r	-	s	-	r	-	-	-	-	-	-	-	-	-	-	-	-	-	-	R	S
C. lapponica	OROBANCHACEAE	Castilleja	lapponica			810203	C. lapponica	-	r	r	-	r	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	R	R	-
C. pavlovii	OROBANCHACEAE	Castilleja	pavlovii			810204	C. pavlovii	-	-	-	-	-	-	-	-	-	-	r	-	s	r	-	-	-	-	-	-	-	-	-	-	R	R	S
C. pallida	OROBANCHACEAE	Castilleja	pallida			810205	C. pallida	-	-	-	-	-	-	-	-	-	-	-	-	-	?	?	-	-	-	-	-	-	-	-	-	-	?	S
C. caudata	OROBANCHACEAE	Castilleja	caudata			810206	C. caudata	-	-	-	-	-	-	-	-	r	-	s	-	r	r	f	f	s	-	-	-	-	-	-	-	R	F	F
C. yukonis	OROBANCHACEAE	Castilleja	yukonis			810207	C. yukonis	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	r	-	-	-	-	-	-	-	-	R	S
C. hyperborea	OROBANCHACEAE	Castilleja	hyperborea			810208	C. hyperborea	-	-	-	-	-	-	-	-	-	-	-	-	-	-	r	s	r	-	-	-	-	-	-	-	R	R	F
C. pseudohyperborea	OROBANCHACEAE	Castilleja	pseudohyperborea			810209	C. pseudohyperborea	-	-	-	-	-	-	-	-	r	-	X	-	r	r	-	-	-	-	-	-	-	-	-	-	-	R	R
C. elegans	OROBANCHACEAE	Castilleja	elegans			810210	C. elegans	-	-	-	-	-	-	-	-	-	-	s	r	-	s	s	f	s	r	-	-	-	-	-	R	F	F	R
C. rubra	OROBANCHACEAE	Castilleja	rubra			810211	C. rubra	-	-	-	-	-	r	r	-	r	-	r	-	-	X	-	-	-	-	-	-	-	-	-	-	-	R	S
C. raupii	OROBANCHACEAE	Castilleja	raupii			810212	C. raupii	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	r	r	s	-	-	-	-	-	-	?	S	F
C. arctica subsp. arctica	OROBANCHACEAE	Castilleja	arctica	subsp.	arctica	810213a	C. arctica subsp. arctica	-	-	-	-	-	s	r	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	R	S	R
C. arctica subsp. vorkutensis	OROBANCHACEAE	Castilleja	arctica	subsp.	vorkutensis	810213b	C. arctica subsp. vorkutensis	-	-	-	-	r	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	R	R
M. sylvaticum	OROBANCHACEAE	Melampyrum	sylvaticum			810301	M. sylvaticum	b	s	r	-	?	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	R	F
M. pratense	OROBANCHACEAE	Melampyrum	pratense			810302	M. pratense	-	s	r	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	R	F
E. wettsteinii	OROBANCHACEAE	Euphrasia	wettsteinii			810401	E. wettsteinii	f	f	s	r	s	s	r	-	-	-	-	-	-	-	-	-	-	s	r	f	f	-	R	S	F	F	F
E. vinacea	OROBANCHACEAE	Euphrasia	vinacea			810402	E. vinacea	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	r	-	-	-	-	-	-	-	R	R
E. mollis	OROBANCHACEAE	Euphrasia	mollis			810403	E. mollis	-	-	-	-	-	-	-	-	-	-	-	-	-	-	r	-	-	-	-	-	-	-	-	-	-	R	S
E. subarctica	OROBANCHACEAE	Euphrasia	subarctica			810404	E. subarctica	-	-	-	-	-	-	-	-	-	-	-	-	-	-	r	-	-	-	-	-	-	-	-	-	-	R	F
E. disjuncta	OROBANCHACEAE	Euphrasia	disjuncta			810405	E. disjuncta	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	r	-	-	-	-	-	-	-	R	F
E. stricta	OROBANCHACEAE	Euphrasia	stricta			810406	E. stricta	-	r	?	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	R	F
E. arctica	OROBANCHACEAE	Euphrasia	arctica			810407	E. arctica	b	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	b	S
E. frigida	OROBANCHACEAE	Euphrasia	frigida			810408	E. frigida	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	f	f	-	-	-	X	X	-
E. hudsoniana	OROBANCHACEAE	Euphrasia	hudsoniana			810409	E. hudsoniana	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	r	-	-	-	-	-	-	-	R	S
E. hyperborea	OROBANCHACEAE	Euphrasia	hyperborea			810410	E. hyperborea	-	r	-	-	-	-	r	-	r	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	R	F
E. saamica	OROBANCHACEAE	Euphrasia	saamica			810411	E. saamica	-	r	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	R	F
E. parviflora	OROBANCHACEAE	Euphrasia	parviflora			810412	E. parviflora	-	-	**	-	-	-	-	-	-	-	-	-	-	-	-	-	-	?	-	-	-	-	-	-	-	?	F
E. salisburgensis	OROBANCHACEAE	Euphrasia	salisburgensis			810413	E. salisburgensis	-	r	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	R	S
B. alpina	OROBANCHACEAE	Bartsia	alpina			810501	B. alpina	f	f	f	-	s	-	-	-	-	-	-	-	-	-	-	-	-	f	-	f	s	-	-	?	F	F	F
R. minor subsp. minor	OROBANCHACEAE	Rhinanthus	minor	subsp.	minor	810601a	R. minor subsp. minor	?	?	*	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	?	?	-	-	-	-	?	F
R. minor subsp. groenlandicus	OROBANCHACEAE	Rhinanthus	minor	subsp.	groenlandicus	810601b	R. minor subsp. groenlandicus	f	f	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	s	-	s	r	-	-	-	R	F	F
R. minor subsp. borealis	OROBANCHACEAE	Rhinanthus	minor	subsp.	borealis	810601c	R. minor subsp. borealis	-	-	-	-	-	-	-	-	-	-	-	-	-	-	r	-	-	?	-	-	-	-	-	-	-	R	F
P. capitata	OROBANCHACEAE	Pedicularis	capitata			810701	P. capitata	-	-	-	-	-	r	f	r	f	r	s	f	f	f	f	f	f	s	s	-	-	-	R	F	F	F	F
P. sceptrum-carolinum	OROBANCHACEAE	Pedicularis	sceptrum-carolinum			810702	P. sceptrum-carolinum	-	f	f	-	-	r	s	r	f	r	f	-	s	-	-	-	-	-	-	-	-	-	-	-	R	F	F
P. tristis	OROBANCHACEAE	Pedicularis	tristis			810703	P. tristis	-	-	-	-	-	-	-	r	s	r	-	-	r	-	-	-	-	-	-	-	-	-	-	-	-	S	S
P. dasyantha var. dasyantha	OROBANCHACEAE	Pedicularis	dasyantha	var.	dasyantha	810704a	P. dasyantha var. dasyantha	-	-	-	s	r	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	R	F	F	R	-
P. dasyantha var. igoschiniae	OROBANCHACEAE	Pedicularis	dasyantha	var.	igoschiniae	810704b	P. dasyantha var. igoschiniae	-	-	-	-	s	r	s	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	F	F	R
P. alopecuroides	OROBANCHACEAE	Pedicularis	alopecuroides			810705	P. alopecuroides	-	-	-	-	-	-	s	s	f	-	f	-	-	r	-	-	-	-	-	-	-	-	-	R	F	F	F
P. lanata	OROBANCHACEAE	Pedicularis	lanata			810706	P. lanata	-	-	-	-	-	-	-	-	-	-	s	-	f	f	f	f	f	s	s	s	-	?	S	F	F	F	F
P. hirsuta	OROBANCHACEAE	Pedicularis	hirsuta			810707	P. hirsuta	-	-	s	f	f	f	s	s	f	s	r	r	-	-	-	r	s	f	f	f	f	R	F	F	F	F	S
P. langsdorffii	OROBANCHACEAE	Pedicularis	langsdorffii			810708	P. langsdorffii	-	-	-	-	-	-	-	-	-	r	s	f	s	f	f	f	f	r	s	-	-	?	S	F	F	F	S
P. langsdorffii subsp. langsdorffii	OROBANCHACEAE	Pedicularis	langsdorffii	subsp.	langsdorffii	810708a	P. langsdorffii subsp. langsdorffii	-	-	-	-	-	-	-	-	-	-	-	-	r	r	r	-	-	-	-	-	-	-	R	S	S	S	S
P. langsdorffii var. purpurascens	OROBANCHACEAE	Pedicularis	langsdorffii	var.	purpurascens	810708b	P. langsdorffii var. purpurascens	-	-	-	-	-	-	-	-	-	-	-	-	-	r	r	-	-	-	-	-	-	-	-	-	-	R	S
P. langsdorffii subsp. arctica	OROBANCHACEAE	Pedicularis	langsdorffii	subsp.	arctica	810708c	P. langsdorffii subsp. arctica	-	-	-	-	-	-	-	-	-	r	s	f	s	f	f	f	f	r	s	-	-	?	S	F	F	F	S
P. flammea	OROBANCHACEAE	Pedicularis	flammea			810709	P. flammea	f	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	r	f	r	f	f	-	R	F	F	F	R
P. oederi	OROBANCHACEAE	Pedicularis	oederi			810710	P. oederi	-	-	s	-	s	s	f	s	f	r	f	s	f	f	f	s	-	-	-	-	-	-	-	R	F	F	F
P. albolabiata	OROBANCHACEAE	Pedicularis	albolabiata			810711	P. albolabiata	-	-	-	-	-	r	s	s	s	r	f	f	s	f	s	f	f	f	r	-	-	-	R	F	F	F	F
P. novaiae-zemliae	OROBANCHACEAE	Pedicularis	novaiae-zemliae			810712	P. novaiae-zemliae	-	-	-	-	s	r	r	-	?	-	-	r	-	-	-	-	-	-	-	-	-	-	R	F	F	S	R
P. arctoeuropaea	OROBANCHACEAE	Pedicularis	arctoeuropaea			810713	P. arctoeuropaea	-	r	s	-	r	r	X	X	X	X	X	?	?	X	f	f	r	-	-	-	-	-	?	F	F	F	S
P. interior	OROBANCHACEAE	Pedicularis	interior			810714	P. interior	-	-	-	-	-	s	s	s	f	s	f	r	s	f	s	s	-	?	-	-	-	-	-	-	R	F	F
P. pacifica	OROBANCHACEAE	Pedicularis	pacifica			810715	P. pacifica	-	-	-	-	-	-	-	-	-	-	?	-	r	s	s	-	-	-	-	-	-	-	-	-	R	F	F
P. villosa	OROBANCHACEAE	Pedicularis	villosa			810716	P. villosa	-	-	-	-	-	-	r	r	f	-	s	f	s	s	-	-	-	-	-	-	-	-	-	R	S	F	F
P. labradorica	OROBANCHACEAE	Pedicularis	labradorica			810717	P. labradorica	-	-	r	-	s	f	s	-	r	r	f	-	f	f	f	f	s	f	-	s	-	-	-	-	R	F	F
P. compacta	OROBANCHACEAE	Pedicularis	compacta			810718	P. compacta	-	-	s	-	r	r	r	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	?	S	F
P. lapponica	OROBANCHACEAE	Pedicularis	lapponica			810719	P. lapponica	-	f	f	-	s	s	s	s	f	s	f	-	s	f	-	s	s	f	-	s	s	-	-	R	F	F	F
P. adunca	OROBANCHACEAE	Pedicularis	adunca			810720	P. adunca	-	-	-	-	-	-	-	-	-	-	-	-	*	-	-	-	-	-	-	-	-	-	-	-	-	*	R
P. palustris subsp. borealis	OROBANCHACEAE	Pedicularis	palustris	subsp.	borealis	810721a	P. palustris subsp. borealis	-	r	r	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	S	F
P. palustris subsp. karoi	OROBANCHACEAE	Pedicularis	palustris	subsp.	karoi	810721b	P. palustris subsp. karoi	-	-	-	-	r	r	?	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	R	S
P. parviflora	OROBANCHACEAE	Pedicularis	parviflora			810722	P. parviflora	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	r	-	-	-	-	-	-	-	R	S
P. pennellii	OROBANCHACEAE	Pedicularis	pennellii			810723	P. pennellii	-	-	-	-	-	r	s	r	r	r	s	-	s	f	f	r	-	-	-	-	-	-	-	-	?	S	F
P. hyperborea	OROBANCHACEAE	Pedicularis	hyperborea			810724	P. hyperborea	-	-	-	-	?	s	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	S	S
P. groenlandica	OROBANCHACEAE	Pedicularis	groenlandica			810725	P. groenlandica	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	s	-	r	-	-	-	-	-	S	F
P. verticillata	OROBANCHACEAE	Pedicularis	verticillata			810726	P. verticillata	-	s	f	-	r	s	s	s	f	r	s	f	s	f	f	f	-	-	-	-	-	-	-	?	F	F	F
P. amoena	OROBANCHACEAE	Pedicularis	amoena			810727	P. amoena	-	-	-	-	s	r	s	s	f	r	f	s	f	r	-	-	-	-	-	-	-	-	-	R	F	F	F
P. eriopoda	OROBANCHACEAE	Pedicularis	eriopoda			810728	P. eriopoda	-	-	-	-	-	-	-	-	-	-	-	-	r	-	-	-	-	-	-	-	-	-	-	-	-	R	?
P. vulgaris (subsp. vulgaris)	LENTIBULARIACEAE	Pinguicula	vulgaris	(subsp.	vulgaris)	820101	P. vulgaris (subsp. vulgaris)	f	f	f	-	r	r	-	-	-	-	-	-	-	-	r	r	s	f	-	f	f	-	-	-	S	F	F
P. alpina	LENTIBULARIACEAE	Pinguicula	alpina			820102	P. alpina	-	s	s	-	s	r	r	-	r	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	R	F	F
P. spathulata	LENTIBULARIACEAE	Pinguicula	spathulata			820103	P. spathulata	-	-	-	-	-	-	-	-	-	-	s	-	s	s	-	-	-	-	-	-	-	-	-	-	R	S	S
P. algida	LENTIBULARIACEAE	Pinguicula	algida			820104	P. algida	-	-	-	-	-	-	s	r	s	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	S	F
P. villosa	LENTIBULARIACEAE	Pinguicula	villosa			820105	P. villosa	-	r	s	-	r	s	r	-	r	r	s	-	r	r	s	s	r	s	-	-	-	-	-	-	-	S	F
U. vulgaris subsp. vulgaris	LENTIBULARIACEAE	Utricularia	vulgaris	subsp.	vulgaris	820201a	U. vulgaris subsp. vulgaris	-	b	r	-	r	-	-	-	r	r	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	R	F
U. vulgaris subsp. macrorhiza	LENTIBULARIACEAE	Utricularia	vulgaris	subsp.	macrorhiza	820201b	U. vulgaris subsp. macrorhiza	-	-	-	-	-	-	-	-	-	r	s	-	-	r	r	s	r	r	-	-	-	-	-	-	-	R	F
U. intermedia	LENTIBULARIACEAE	Utricularia	intermedia			820202	U. intermedia	-	-	-	-	-	-	r	-	-	-	r	-	r	r	r	r	r	s	-	r	-	-	-	-	R	S	F
U. ochroleuca	LENTIBULARIACEAE	Utricularia	ochroleuca			820203	U. ochroleuca	-	-	-	-	-	-	-	-	-	-	-	-	-	?	-	-	r	r	-	s	-	-	-	-	R	R	F
U. minor	LENTIBULARIACEAE	Utricularia	minor			820204	U. minor	s	r	-	-	-	-	r	-	-	-	r	-	r	r	-	r	b	r	-	s	r	-	-	-	R	R	F
E. villosum	BORAGINACEAE	Eritrichium	villosum			830101	E. villosum	-	r	r	-	f	s	f	s	f	r	f	-	s	f	-	-	-	-	-	-	-	R	S	F	F	F	F
E. villosum subsp. villosum	BORAGINACEAE	Eritrichium	villosum	subsp.	villosum	830101a	E. villosum subsp. villosum	-	r	r	-	f	s	s	s	f	r	f	-	s	f	-	-	-	-	-	-	-	-	-	S	F	F	F
E. villosum subsp. pulvinatum	BORAGINACEAE	Eritrichium	villosum	subsp.	pulvinatum	830101b	E. villosum subsp. pulvinatum	-	-	-	-	s	r	f	r	r	r	-	-	-	-	-	-	-	-	-	-	-	R	S	F	F	S	R
E. aretioides var. aretioides	BORAGINACEAE	Eritrichium	aretioides	var.	aretioides	830102a	E. aretioides var. aretioides	-	-	-	-	-	-	-	-	-	-	-	-	-	s	s	s	-	-	-	-	-	-	-	?	F	F	S
E. aretioides var. chamissonis	BORAGINACEAE	Eritrichium	aretioides	var.	chamissonis	830102b	E. aretioides var. chamissonis	-	-	-	-	-	-	-	-	-	-	s	-	r	f	s	r	-	-	-	-	-	-	-	?	F	F	S
E. tschuktschorum	BORAGINACEAE	Eritrichium	tschuktschorum			830103	E. tschuktschorum	-	-	-	-	-	-	-	-	-	-	f	-	s	f	-	-	-	-	-	-	-	-	-	?	F	F	R
E. sericeum subsp. sericeum	BORAGINACEAE	Eritrichium	sericeum	subsp.	sericeum	830104a	E. sericeum subsp. sericeum	-	-	-	-	-	-	r	?	r	-	r	-	-	-	-	-	-	-	-	-	-	-	-	-	R	S	S
E. sericeum subsp. arctisibiricum	BORAGINACEAE	Eritrichium	sericeum	subsp.	arctisibiricum	830104b	E. sericeum subsp. arctisibiricum	-	-	-	-	-	r	s	r	-	-	?	f	-	-	-	-	-	-	-	-	-	-	-	R	F	F	S
E. splendens	BORAGINACEAE	Eritrichium	splendens			830103	E. splendens	-	-	-	-	-	-	-	-	-	-	-	-	-	-	r	r	-	-	-	-	-	-	-	-	R	R	S
A. lycopsoides	BORAGINACEAE	Amsinckia	lycopsoides			830201	A. lycopsoides	-	-	-	-	-	-	-	-	-	-	-	-	-	-	*	-	-	-	-	-	-	-	-	-	-	*	*
S. asperum	BORAGINACEAE	Symphytum	asperum			830301	S. asperum	-	*	**	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	*	*
M. maritima subsp. maritima	BORAGINACEAE	Mertensia	maritima	subsp.	maritima	830401a	M. maritima subsp. maritima	f	f	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	F	F
M. maritima subsp. asiatica	BORAGINACEAE	Mertensia	maritima	subsp.	asiatica	830401b	M. maritima subsp. asiatica	-	-	-	-	-	-	-	-	-	-	-	-	?	?	?	-	-	-	-	-	-	-	-	-	-	?	F
M. maritima subsp. tenella	BORAGINACEAE	Mertensia	maritima	subsp.	tenella	830401c	M. maritima subsp. tenella	r	-	-	s	-	-	-	-	-	-	r	s	r	f	f	f	s	f	r	f	r	-	R	F	F	S	R
M. drummondii	BORAGINACEAE	Mertensia	drummondii			830402	M. drummondii	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	r	r	-	-	-	-	-	-	R	R	R	-
M. paniculata (var. paniculata)	BORAGINACEAE	Mertensia	paniculata	(var.	paniculata)	830403	M. paniculata (var. paniculata)	-	-	-	-	-	-	-	-	-	-	-	-	-	-	f	r	-	r	-	-	-	-	-	-	R	S	F
M. eastwoodae	BORAGINACEAE	Mertensia	eastwoodae			830404	M. eastwoodae	-	-	-	-	-	-	-	-	-	-	-	-	-	-	r	-	-	-	-	-	-	-	-	-	-	R	R
M. pubescens	BORAGINACEAE	Mertensia	pubescens			830405	M. pubescens	-	-	-	-	-	-	-	-	-	-	-	-	s	-	-	-	-	-	-	-	-	-	-	-	-	R	F
M. scorpioides	BORAGINACEAE	Myosotis	scorpioides			830501	M. scorpioides	*	s	f	-	s	s	r	-	-	-	-	-	-	-	**	-	-	-	-	-	-	-	-	-	-	S	F
M. laxa subsp. cespitosa	BORAGINACEAE	Myosotis	laxa	subsp.	cespitosa	830502a	M. laxa subsp. cespitosa	-	*	*	-	-	*	*	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	R	F
M. decumbens (subsp. decumbens)	BORAGINACEAE	Myosotis	decumbens	(subsp.	decumbens)	830503	M. decumbens (subsp. decumbens)	-	s	?	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	S	F
M. pseudovariabilis	BORAGINACEAE	Myosotis	pseudovariabilis			830504	M. pseudovariabilis	-	-	-	-	-	r	r	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	R	R
M. arvensis	BORAGINACEAE	Myosotis	arvensis			830505	M. arvensis	*	*	**	**	-	-	**	-	-	-	-	-	-	-	-	-	-	-	-	*	-	-	-	**	**	*	S
M. alpestris subsp. asiatica	BORAGINACEAE	Myosotis	alpestris	subsp.	asiatica	830506a	M. alpestris subsp. asiatica	-	r	f	-	f	f	f	f	f	s	f	f	f	f	f	f	r	-	-	-	-	-	R	F	F	F	F
M. stricta	BORAGINACEAE	Myosotis	stricta			830507	M. stricta	b	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	b	S
A. procumbens	BORAGINACEAE	Asperugo	procumbens			830601	A. procumbens	-	-	**	-	-	-	**	-	-	-	-	-	-	-	**	-	-	-	-	*	-	-	-	-	*	*	F
L. occidentalis	BORAGINACEAE	Lappula	occidentalis			830701	L. occidentalis	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	*	*	-	-	-	-	-	-	-	-	*	S
L. squarrosa	BORAGINACEAE	Lappula	squarrosa			830702	L. squarrosa	-	**	-	**	**	-	**	-	-	*	-	-	-	-	-	-	-	-	-	-	-	-	-	**	-	*	*
