Taxon	Family	Genus	Species	Subunit (string option)	Subunit Value	ID	TaxonOriginal	Ic	FN	KP	SF	UN	YG	Tm	AO	Kh	YK	CW	WI	CS	CE	AW	AN	CC	HL	EP	GW	GE	A	B	C	D	E	N
B. inermis	POACEAE	Bromopsis	inermis			340702	B. inermis	*	*	*	-	*	-	*	-	-	-	-	-	-	-	**	-	-	-	-	**	-	-	-	-	-	*	S
B. ciliata	POACEAE	Bromopsis	ciliata			340703	B. ciliata	-	-	-	-	-	-	-	-	-	-	-	-	-	-	r	-	-	b	-	-	-	-	-	-	-	R	F
A. nipponicum	POACEAE	Anthoxanthum	nipponicum			340801	A. nipponicum	f	f	f	-	s	-	r	-	-	-	-	-	-	-	-	-	-	-	-	r	r	-	-	-	R	F	F
A. odoratum	POACEAE	Anthoxanthum	odoratum			340802	A. odoratum	-	*	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	*	-	-	-	-	-	*	S
H. alpina	POACEAE	Hierochloe	alpina			340901	H. alpina	-	s	s	s	f	f	f	f	f	s	f	f	f	f	f	f	f	f	f	f	f	-	S	F	F	F	F
H. orthantha	POACEAE	Hierochloe	orthantha			340902	H. orthantha	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	s	-	s	r	-	-	-	-	F	F
H. odorata subsp. odorata	POACEAE	Hierochloe	odorata	subsp.	odorata	340903a	H. odorata subsp. odorata	f	s	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	r	-	-	-	-	-	-	-	R	F
H. odorata subsp. arctica	POACEAE	Hierochloe	odorata	subsp.	arctica	340903b	H. odorata subsp. arctica	-	s	s	-	s	r	r	-	-	-	r	-	s	r	r	s	r	s	-	r	-	-	-	-	R	S	F
H. odorata subsp. kolymensis	POACEAE	Hierochloe	odorata	subsp.	kolymensis	340903c	H. odorata subsp. kolymensis	-	-	-	-	-	-	-	-	-	r	-	-	-	r	r	-	-	-	-	-	-	-	-	-	-	R	F
H. glabra subsp. sibirica	POACEAE	Hierochloe	glabra	subsp.	sibirica	340904a	H. glabra subsp. sibirica	-	-	-	-	-	-	-	-	-	-	-	-	-	r	-	-	-	-	-	-	-	-	-	-	-	R	S
H. wrangelica	POACEAE	Hierochloe	wrangelica			340905	H. wrangelica	-	-	-	-	-	-	-	-	-	-	-	r	-	-	-	-	-	-	-	-	-	-	-	R	R	-	-
H. pauciflora	POACEAE	Hierochloe	pauciflora			340906	H. pauciflora	-	-	-	-	f	f	f	f	f	f	f	f	f	f	f	f	f	f	r	-	-	-	R	F	F	F	F
A. pubescens	POACEAE	Avenula	pubescens			341001	A. pubescens	-	b	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	b	F
A. dahurica	POACEAE	Avenula	dahurica			341002	A. dahurica	-	-	-	-	-	-	-	-	r	-	s	-	r	-	-	-	-	-	-	-	-	-	-	-	-	R	F
H. krylovii	POACEAE	Helictotrichon	krylovii			341101	H. krylovii	-	-	-	-	-	-	-	-	-	-	r	-	-	r	-	-	-	-	-	-	-	-	-	-	-	R	S
T. sibiricum subsp. sibiricum	POACEAE	Trisetum	sibiricum	subsp.	sibiricum	341201a	T. sibiricum subsp. sibiricum	-	-	f	-	f	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	S	F
T. sibiricum subsp. litorale	POACEAE	Trisetum	sibiricum	subsp.	litorale	341201b	T. sibiricum subsp. litorale	-	-	f	-	r	-	s	s	f	r	s	-	r	s	r	r	-	-	-	-	-	-	-	-	R	F	F
T. subalpestre	POACEAE	Trisetum	subalpestre			341202	T. subalpestre	-	b	-	-	-	-	r	r	s	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	?	R	R
T. spicatum	POACEAE	Trisetum	spicatum			341203	T. spicatum	f	s	f	f	f	f	f	f	f	r	f	f	f	f	f	f	f	f	f	f	f	R	F	F	F	F	F
T. molle	POACEAE	Trisetum	molle			341204	T. molle	s	-	-	-	-	-	r	r	r	r	s	-	s	s	s	s	r	r	-	f	s	-	-	?	S	F	F
T. melicoides	POACEAE	Trisetum	melicoides			341205	T. melicoides	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	r	-	-	-	-	-	-	-	-	R
K. pyramidata subsp. seminuda	POACEAE	Koeleria	pyramidata	subsp.	seminuda	341301a	K. pyramidata subsp. seminuda	-	-	-	-	-	-	-	r	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	R	F
K. glauca subsp. pohleana	POACEAE	Koeleria	glauca	subsp.	pohleana	341302a	K. glauca subsp. pohleana	-	-	s	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	?	S	F	F
K. asiatica	POACEAE	Koeleria	asiatica			341303	K. asiatica	-	-	-	-	s	f	f	f	f	r	f	f	r	r	r	s	r	-	-	-	-	-	-	-	R	F	F
X Trisetokoeleria	POACEAE	Koeleria	Trisetokoeleria			3414	X Trisetokoeleria																											
X T. gorodkowii	POACEAE	Koeleria	T.	gorodkowii		341401	X T. gorodkowii	-	-	-	-	-	r	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	R	R	-
X T. taimyrica	POACEAE	Koeleria	T.	taimyrica		341402	X T. taimyrica	-	-	-	-	-	-	r	-	-	-	r	-	-	-	-	-	-	-	-	-	-	-	-	R	R	R	-
X T. jurtzevii	POACEAE	Koeleria	T.	jurtzevii		341403	X T. jurtzevii	-	-	-	-	-	-	-	-	-	-	r	r	-	r	-	-	-	-	-	-	-	-	-	R	R	R	-
S. intermedia	POACEAE	Sphenopholis	intermedia			341501	S. intermedia	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	b	-	-	-	-	-	-	-	b	F
