timeline_id	site_name	coord	age_ybp	morphotype	taxon	rank	taxon-tree	data-value
individualtimelinenode_c2805b46-f963-491a-b825-766208e247a0	Johannes Iversen Sø	64°24'00"N 50°12'00"W	1028.207000	Juniperus communis	Juniperus communis L.	Species	Life > Kingdom > Phylum > Class > Order > Family > Genus > Species	1.212120
individualtimelinenode_c2805b46-f963-491a-b825-766208e247a0	Johannes Iversen Sø	64°24'00"N 50°12'00"W	1028.207000	Luzula-Juncus	Juncus	Genus	Life > Kingdom > Phylum > Order > Family > Genus	0.000000
individualtimelinenode_c2805b46-f963-491a-b825-766208e247a0	Johannes Iversen Sø	64°24'00"N 50°12'00"W	1028.207000	Luzula-Juncus	Luzula	Genus	Life > Kingdom > Phylum > Order > Family > Genus	0.000000
individualtimelinenode_c2805b46-f963-491a-b825-766208e247a0	Johannes Iversen Sø	64°24'00"N 50°12'00"W	1028.207000	Lycopodium dubium	Lycopodium clavatum L.	Species	Life > Kingdom > Phylum > Class > Order > Family > Subfamily > Genus > Species	5.000000
individualtimelinenode_c2805b46-f963-491a-b825-766208e247a0	Johannes Iversen Sø	64°24'00"N 50°12'00"W	1028.207000	Potentilla-Comarum type	Sibbaldia procumbens L.	Species	Species	0.000000
individualtimelinenode_c2805b46-f963-491a-b825-766208e247a0	Johannes Iversen Sø	64°24'00"N 50°12'00"W	1028.207000	Potentilla-Comarum type	Comarum palustre L.	Species	Life > Kingdom > Phylum > Order > Family > Genus > Species	0.000000
individualtimelinenode_c2805b46-f963-491a-b825-766208e247a0	Johannes Iversen Sø	64°24'00"N 50°12'00"W	1028.207000	Potentilla-Comarum type	Potentilla hyparctica Malte	Species	Species	0.000000
individualtimelinenode_c2805b46-f963-491a-b825-766208e247a0	Johannes Iversen Sø	64°24'00"N 50°12'00"W	1028.207000	Potentilla-Comarum type	Potentilla nivea L.	Species	Species	0.000000
individualtimelinenode_c2805b46-f963-491a-b825-766208e247a0	Johannes Iversen Sø	64°24'00"N 50°12'00"W	1028.207000	Potentilla-Comarum type	Potentilla hookeriana Lehm.	Species	Species	0.000000
individualtimelinenode_c2805b46-f963-491a-b825-766208e247a0	Johannes Iversen Sø	64°24'00"N 50°12'00"W	1028.207000	Ranunculus sp.	Ranunculus	Genus	Life > Kingdom > Phylum > Order > Family > Genus	0.000000
